Property Address,Owner Name,Mailing Address,Property Value,Assessed Value,Market Value,Taxable Value,Square Footage,Lot Size (SqFt),Year Built,Bedrooms,Bathrooms,Half Baths,Property Type,Property Use,Building Class,Parcel ID,Account Number,Folio Number,Sale Price,Sale Date,Deed Book,Municipality,Neighborhood,Subdivision,Zoning,Land Use Code,School District,Tax Amount,Homestead Exemption,Exemption Amount,Record URL,Additional Info,Extraction Date
107 BOWSPRIT DR,,,,,,,,,,,,,,,,,,,,,,Palm Beach,,,,,,,,,https://pbcpao.gov/AdvSearch/GetSalesSearch#,,2025-11-09 11:27:18
712 LAKESIDE CIR,,,,,,,,,,,,,,,,,,,,,,Palm Beach,,,,,,,,,https://pbcpao.gov/AdvSearch/GetSalesSearch#,,2025-11-09 11:27:20
252 TEQUEST,,,,,,,,,,,,,,,,,,,,,,Palm Beach,,,,,,,,,https://pbcpao.gov/AdvSearch/GetSalesSearch#,,2025-11-09 11:27:21
624 SOUTHWIND CIR,,,,,,,,,,,,,,,,,,,,,,Palm Beach,,,,,,,,,https://pbcpao.gov/AdvSearch/GetSalesSearch#,,2025-11-09 11:27:21
715 IBIS WAY,,,,,,,,,,,,,,,,,,,,,,Palm Beach,,,,,,,,,https://pbcpao.gov/AdvSearch/GetSalesSearch#,,2025-11-09 11:27:21
716 HARBOUR ISLES WAY,,,,,,,,,,,,,,,,,,,,,,Palm Beach,,,,,,,,,https://pbcpao.gov/AdvSearch/GetSalesSearch#,,2025-11-09 11:27:21
736 LAGOON DR,,,,,,,,,,,,,,,,,,,,,,Palm Beach,,,,,,,,,https://pbcpao.gov/AdvSearch/GetSalesSearch#,,2025-11-09 11:27:22
800 LAKESIDE DR,,,,,,,,,,,,,,,,,,,,,,Palm Beach,,,,,,,,,https://pbcpao.gov/AdvSearch/GetSalesSearch#,,2025-11-09 11:27:22
801 HARBOUR ISLES CT,,,,,,,,,,,,,,,,,,,,,,Palm Beach,,,,,,,,,https://pbcpao.gov/AdvSearch/GetSalesSearch#,,2025-11-09 11:27:23
842 LAKESIDE DR,,,,,,,,,,,,,,,,,,,,,,Palm Beach,,,,,,,,,https://pbcpao.gov/AdvSearch/GetSalesSearch#,,2025-11-09 11:27:23
4720 N FLAGLER DR WEST,,,,,,,,,,,,,,,,,,,,,,Palm Beach,,,,,,,,,https://pbcpao.gov/AdvSearch/GetSalesSearch#,,2025-11-09 11:27:24
878 LAKESIDE DR,,,,,,,,,,,,,,,,,,,,,,Palm Beach,,,,,,,,,https://pbcpao.gov/AdvSearch/GetSalesSearch#,,2025-11-09 11:27:25
100 DAVIT DR,,,,,,,,,,,,,,,,,,,,,,Palm Beach,,,,,,,,,https://pbcpao.gov/AdvSearch/GetSalesSearch#,,2025-11-09 11:27:25
108 ANCHORAGE DR,,,,,,,,,,,,,,,,,,,,,,Palm Beach,,,,,,,,,https://pbcpao.gov/AdvSearch/GetSalesSearch#,,2025-11-09 11:27:25
752 HARBOUR ISLES WAY,,,,,,,,,,,,,,,,,,,,,,Palm Beach,,,,,,,,,https://pbcpao.gov/AdvSearch/GetSalesSearch#,,2025-11-09 11:27:26
700 HARBOUR ISLES WAY,,,,,,,,,,,,,,,,,,,,,,Palm Beach,,,,,,,,,https://pbcpao.gov/AdvSearch/GetSalesSearch#,,2025-11-09 11:27:27
29 ANDR,,,,,,,,,,,,,,,,,,,,,,Palm Beach,,,,,,,,,https://pbcpao.gov/AdvSearch/GetSalesSearch#,,2025-11-09 11:27:27
31 ANTHONY J FERRANTE TRUST,,,,,,,,,,,,,,,,,,,,,,Palm Beach,,,,,,,,,https://pbcpao.gov/AdvSearch/GetSalesSearch#,,2025-11-09 11:27:27
784 HARBOUR ISLES PL,,,,,,,,,,,,,,,,,,,,,,Palm Beach,,,,,,,,,https://pbcpao.gov/AdvSearch/GetSalesSearch#,,2025-11-09 11:27:27
826 HARBOUR ISLES PL,,,,,,,,,,,,,,,,,,,,,,Palm Beach,,,,,,,,,https://pbcpao.gov/AdvSearch/GetSalesSearch#,,2025-11-09 11:27:28
780 HARBOUR ISLES PL,,,,,,,,,,,,,,,,,,,,,,Palm Beach,,,,,,,,,https://pbcpao.gov/AdvSearch/GetSalesSearch#,,2025-11-09 11:27:28
845 HARBOUR ISLES PL,,,,,,,,,,,,,,,,,,,,,,Palm Beach,,,,,,,,,https://pbcpao.gov/AdvSearch/GetSalesSearch#,,2025-11-09 11:27:28
643 PILOT RD,,,,,,,,,,,,,,,,,,,,,,Palm Beach,,,,,,,,,https://pbcpao.gov/AdvSearch/GetSalesSearch#,,2025-11-09 11:27:28
797 HARBOUR ISLES CT,,,,,,,,,,,,,,,,,,,,,,Palm Beach,,,,,,,,,https://pbcpao.gov/AdvSearch/GetSalesSearch#,,2025-11-09 11:27:29
853 HARBOUR ISLES PL,,,,,,,,,,,,,,,,,,,,,,Palm Beach,,,,,,,,,https://pbcpao.gov/AdvSearch/GetSalesSearch#,,2025-11-09 11:27:30
617 KINGFISH RD,,,,,,,,,,,,,,,,,,,,,,Palm Beach,,,,,,,,,https://pbcpao.gov/AdvSearch/GetSalesSearch#,,2025-11-09 11:27:30
825 HARBOUR ISLES PL,,,,,,,,,,,,,,,,,,,,,,Palm Beach,,,,,,,,,https://pbcpao.gov/AdvSearch/GetSalesSearch#,,2025-11-09 11:27:31
849 HARBOUR ISLES PL,,,,,,,,,,,,,,,,,,,,,,Palm Beach,,,,,,,,,https://pbcpao.gov/AdvSearch/GetSalesSearch#,,2025-11-09 11:27:32
18 BALDARI TENANCY BY THE ENTIRETIES TRUST,,,,,,,,,,,,,,,,,,,,,,Palm Beach,,,,,,,,,https://pbcpao.gov/AdvSearch/GetSalesSearch#,,2025-11-09 11:27:32
